date,daily_vaccinations,total_vaccinations
17/6/2021,2259621,85441106
4/8/2021,2435897,148054492
10/8/2021,2208076,156399040
11/8/2021,2023839,158422879
12/8/2021,2251367,160674246
13/8/2021,2157850,162832096
16/8/2021,2070111,166750328
17/8/2021,3002675,169753003
19/8/2021,2521973,174263122
20/8/2021,2113768,176376890
23/8/2021,2078461,180251675
24/8/2021,2403088,182654763
25/8/2021,2052810,184707573
31/8/2021,2660479,194176380
9/9/2021,2213763,207509808
10/9/2021,2407953,209917761
14/9/2021,2134330,215338063
17/9/2021,2335597,221071595
1/10/2021,2010073,241200485
14/10/2021,2335619,256762148
15/10/2021,2087323,258849471
20/10/2021,2037781,265607325
25/10/2021,2419442,271861944
5/11/2021,2022153,284683953
9/1/2022,2115047,335742922
16/1/2022,3070751,343352666
17/1/2022,3976605,347329271
